# Gaia DR3 Real Star Cluster: Pleiades (M45)
# Total Stars: 1679 | 1:1 IRL Physical Units: pos=pc, vel=km/s, mass=M_sun
# Gravitational constant: G = 0.004300917 pc*(km/s)^2/M_sun | 1 time unit = 0.9778 Myr
# name,mass,x,y,z,vx,vy,vz
gaia_65178568258674176,0.6697,1.5499,1.2513,-0.2548,2.6641,-3.1340,-2.1748
gaia_65636072472976384,0.6922,1.1775,11.4880,2.5603,-6.4116,-21.2253,34.2379
gaia_66814302260735104,0.6737,2.2419,2.7779,3.5105,0.5561,-3.9089,-2.1748
gaia_65223618172733952,0.6549,-0.7887,-1.2862,-1.0363,-0.1589,-3.0294,2.7780
gaia_69896473870624640,0.6463,-1.4424,-5.5721,0.3820,-0.6069,-2.2425,0.3451
gaia_64980278208557696,0.6518,-0.9294,-1.4859,-2.5260,-2.9699,-3.3086,-3.5902
gaia_68398732874994944,0.6661,6.7137,-0.3441,1.1621,0.0260,-2.1715,3.1855
gaia_63916431989200256,0.6343,-2.9559,-3.6993,-8.1763,-1.4546,-1.7326,4.9671
gaia_65010239900405504,0.6467,-1.1432,-1.3736,-1.9733,-0.7603,-1.7199,6.3535
gaia_66658996243552000,0.6379,-4.7852,-2.5361,-1.1416,0.1680,-2.2717,3.3136
gaia_67122126859367808,0.6352,-7.4692,-3.0663,0.9513,21.3093,0.9339,22.5508
gaia_66957612431742080,0.6965,6.2416,13.8905,10.4283,0.6391,-6.8658,2.1317
gaia_69866855776219776,0.6630,3.3880,4.1168,5.7638,-7.1294,-1.5242,-27.4549
gaia_65190048708380160,0.6374,0.3443,-0.8655,-1.3946,-0.4609,-2.1073,-6.8252
gaia_66514410465753344,0.6265,-3.7943,-2.4956,-2.2431,17.5965,32.8947,-1.0625
gaia_65651706153771904,0.6457,-1.8896,5.1321,-0.2345,31.5244,-8.5056,15.5967
gaia_66480944080770176,0.6316,-2.9401,0.0240,-1.5933,-0.4609,-3.3124,3.6494
